,AvgRating,GameName,GameRank,GeekRating,ListPrice,NumVoters
1830,"
			6.09		",Galaxy's Edge,"
			7805			
					","
			5.567		","
			List: $34.99
		","
			170		"
1831,"
			5.68		",Ghooost!,"
			7808			
					","
			5.567		","
			List: $19.99
		","
			923		"
1832,"
			6.47		",Video Game High School,"
			7813			
					","
			5.567		","
","
			125		"
1833,"
			5.93		",Samurai & Katana,"
			7819			
					","
			5.567		","
","
			262		"
1834,"
			5.86		",The Mysterious Forest,"
			7826			
					","
			5.567		","
			List: $29.99
		","
			326		"
1835,"
			8.75		",Aeon's End: The New Age,"
			7829			
					","
			5.566		","]
					","
			41		"
1836,"
			7.48		",Wartime: The Battle of Valyance Vale,"
			7836			
					","
			5.566		","
","
			52		"
1837,"
			6.33		",Rome & Carthage,"
			7837			
					","
			5.566		","]
					","
			131		"
1838,"
			5.99		",Stalingrad,"
			7838			
					","
			5.566		","]
					","
			422		"
1839,"
			6.54		",Titans of Industry,"
			7842			
					","
			5.566		","
","
			93		"
1840,"
			8.17		",Wander: The Cult of Barnacle Bay,"
			7843			
					","
			5.566		","]
					","
			63		"
1841,"
			7.61		",Fall Of The Third Reich,"
			7846			
					","
			5.566		","
","
			45		"
1842,"
			7.26		",Expedite,"
			7847			
					","
			5.566		","
			List: $45.99
		","
			73		"
1843,"
			7.18		",Dicium,"
			7853			
					","
			5.566		","]
					","
			63		"
1844,"
			6.53		",Crisis: Sinai 1973,"
			7854			
					","
			5.566		","]
					","
			93		"
1845,"
			6.80		",Splut!,"
			7857			
					","
			5.566		","<a class=""ulprice"" href=""https://itunes.apple.com/us/app/splut/id470124984?uo=4&amp;mt=8&amp;at=10lazE"" target=""_blank"">iOS App: <span class=""positive"">Free</span></a>","
			76		"
1846,"
			6.03		",Thieves!,"
			7859			
					","
			5.566		","]
					","
			195		"
1847,"
			5.90		",Atmosfear: The Harbingers,"
			7860			
					","
			5.566		","
","
			443		"
1848,"
			5.67		",Monopoly Express,"
			7865			
					","
			5.566		","
			List: $12.99
		","
			822		"
1849,"
			6.19		",Kingpin,"
			7869			
					","
			5.566		","]
					","
			170		"
1850,"
			9.33		",Court of the Dead: Mourners Call,"
			7872			
					","
			5.566		","]
					","
			54		"
1851,"
			7.11		",Borodino: Napoleon in Russia 1812,"
			7874			
					","
			5.566		","
			List: $67.48
		","
			64		"
1852,"
			5.76		",Curses!,"
			7882			
					","
			5.565		","
			List: $24.99
		","
			526		"
1853,"
			7.70		",Traveller Customizable Card Game: Two Player Starter Set,"
			7883			
					","
			5.565		","]
					","
			55		"
1854,"
			7.09		",Suez '56: Anglo French Intervention in Egypt,"
			7885			
					","
			5.565		","]
					","
			54		"
1855,"
			7.90		",Sergeants Miniatures Game: Red Devils,"
			7889			
					","
			5.565		","]
					","
			37		"
1856,"
			5.81		",1313 Dead End Drive,"
			7890			
					","
			5.565		","
","
			687		"
1857,"
			5.81		",Sherwood Forest,"
			7891			
					","
			5.565		","
","
			368		"
1858,"
			7.10		",Wilderness Empires,"
			7893			
					","
			5.565		","]
					","
			59		"
1859,"
			6.26		",Provincia Romana,"
			7895			
					","
			5.565		","
			List: $54.99
		","
			137		"
1860,"
			6.79		",Empires at Sea,"
			7899			
					","
			5.565		","
														
													[","
			106		"
1861,"
			5.97		",Whitewater,"
			7900			
					","
			5.565		","
			List: $34.99
		","
			208		"
1862,"
			6.71		",Deep Space D-6: Armada,"
						N/A			
					","
			N/A		","]
					","
			7		"
